number,code,locale
1,11110,서울특별시 종로구
2,11140,서울특별시 중구
3,11170,서울특별시 용산구
4,11200,서울특별시 성동구
5,11215,서울특별시 광진구
6,11230,서울특별시 동대문구
7,11260,서울특별시 중랑구
8,11290,서울특별시 성북구
9,11305,서울특별시 강북구
10,11320,서울특별시 도봉구
11,11350,서울특별시 노원구
12,11380,서울특별시 은평구
13,11410,서울특별시 서대문구
14,11440,서울특별시 마포구
15,11470,서울특별시 양천구
16,11500,서울특별시 강서구
17,11530,서울특별시 구로구
18,11545,서울특별시 금천구
19,11560,서울특별시 영등포구
20,11590,서울특별시 동작구
21,11620,서울특별시 관악구
22,11650,서울특별시 서초구
23,11680,서울특별시 강남구
24,11710,서울특별시 송파구
25,11740,서울특별시 강동구
26,26110,부산광역시 중구
27,26140,부산광역시 서구
28,26170,부산광역시 동구
29,26200,부산광역시 영도구
30,26230,부산광역시 부산진구
31,26260,부산광역시 동래구
32,26290,부산광역시 남구
33,26320,부산광역시 북구
34,26350,부산광역시 해운대구
35,26380,부산광역시 사하구
36,26410,부산광역시 금정구
37,26440,부산광역시 강서구
38,26470,부산광역시 연제구
39,26500,부산광역시 수영구
40,26530,부산광역시 사상구
41,26710,부산광역시 기장군
42,27110,대구광역시 중구
43,27140,대구광역시 동구
44,27170,대구광역시 서구
45,27200,대구광역시 남구
46,27230,대구광역시 북구
47,27260,대구광역시 수성구
48,27290,대구광역시 달서구
49,27710,대구광역시 달성군
50,28110,인천광역시 중구
51,28140,인천광역시 동구
52,28170,인천광역시 남구
53,28185,인천광역시 연수구
54,28200,인천광역시 남동구
55,28237,인천광역시 부평구
56,28245,인천광역시 계양구
57,28260,인천광역시 서구
58,28710,인천광역시 강화군
59,28720,인천광역시 옹진군
60,29110,광주광역시 동구
61,29140,광주광역시 서구
62,29155,광주광역시 남구
63,29170,광주광역시 북구
64,29200,광주광역시 광산구
65,30110,대전광역시 동구
66,30140,대전광역시 중구
67,30170,대전광역시 서구
68,30200,대전광역시 유성구
69,30230,대전광역시 대덕구
70,31110,울산광역시 중구
71,31140,울산광역시 남구
72,31170,울산광역시 동구
73,31200,울산광역시 북구
74,31710,울산광역시 울주군
75,36110,세종특별자치시 세종특별자치시
76,41111,경기도 수원장안구
77,41113,경기도 수원권선구
78,41115,경기도 수원팔달구
79,41117,경기도 수원영통구
80,41131,경기도 성남수정구
81,41133,경기도 성남중원구
82,41135,경기도 성남분당구
83,41150,경기도 의정부시
84,41171,경기도 안양만안구
85,41173,경기도 안양동안구
86,41195,경기도 부천원미구
87,41197,경기도 부천소사구
88,41199,경기도 부천오정구
89,41210,경기도 광명시
90,41220,경기도 평택시
91,41250,경기도 동두천시
92,41271,경기도 안산상록구
93,41273,경기도 안산단원구
94,41281,경기도 고양덕양구
95,41285,경기도 고양일산동구
96,41287,경기도 고양일산서구
97,41290,경기도 과천시
98,41310,경기도 구리시
99,41360,경기도 남양주시
100,41370,경기도 오산시
101,41390,경기도 시흥시
102,41410,경기도 군포시
103,41430,경기도 의왕시
104,41450,경기도 하남시
105,41461,경기도 용인처인구
106,41463,경기도 용인기흥구
107,41465,경기도 용인수지구
108,41480,경기도 파주시
109,41500,경기도 이천시
110,41550,경기도 안성시
111,41570,경기도 김포시
112,41590,경기도 화성시
113,41610,경기도 광주시
114,41630,경기도 양주시
115,41650,경기도 포천시
116,41670,경기도 여주시
117,41800,경기도 연천군
118,41820,경기도 가평군
119,41830,경기도 양평군
120,42110,강원도 춘천시
121,42130,강원도 원주시
122,42150,강원도 강릉시
123,42170,강원도 동해시
124,42190,강원도 태백시
125,42210,강원도 속초시
126,42230,강원도 삼척시
127,42720,강원도 홍천군
128,42730,강원도 횡성군
129,42750,강원도 영월군
130,42760,강원도 평창군
131,42770,강원도 정선군
132,42780,강원도 철원군
133,42790,강원도 화천군
134,42800,강원도 양구군
135,42810,강원도 인제군
136,42820,강원도 고성군
137,42830,강원도 양양군
138,43111,충청북도 청주상당구
139,43112,충청북도 청주서원구
140,43113,충청북도 청주흥덕구
141,43114,충청북도 청주청원구
142,43130,충청북도 충주시
143,43150,충청북도 제천시
144,43720,충청북도 보은군
145,43730,충청북도 옥천군
146,43740,충청북도 영동군
147,43745,충청북도 증평군
148,43750,충청북도 진천군
149,43760,충청북도 괴산군
150,43770,충청북도 음성군
151,43800,충청북도 단양군
152,44131,충청남도 천안동남구
153,44133,충청남도 천안서북구
154,44150,충청남도 공주시
155,44180,충청남도 보령시
156,44200,충청남도 아산시
157,44210,충청남도 서산시
158,44230,충청남도 논산시
159,44250,충청남도 계룡시
160,44270,충청남도 당진시
161,44710,충청남도 금산군
162,44760,충청남도 부여군
163,44770,충청남도 서천군
164,44790,충청남도 청양군
165,44800,충청남도 홍성군
166,44810,충청남도 예산군
167,44825,충청남도 태안군
168,45111,전라북도 전주완산구
169,45113,전라북도 전주덕진구
170,45130,전라북도 군산시
171,45140,전라북도 익산시
172,45180,전라북도 정읍시
173,45190,전라북도 남원시
174,45210,전라북도 김제시
175,45710,전라북도 완주군
176,45720,전라북도 진안군
177,45730,전라북도 무주군
178,45740,전라북도 장수군
179,45750,전라북도 임실군
180,45770,전라북도 순창군
181,45790,전라북도 고창군
182,45800,전라북도 부안군
183,46110,전라남도 목포시
184,46130,전라남도 여수시
185,46150,전라남도 순천시
186,46170,전라남도 나주시
187,46230,전라남도 광양시
188,46710,전라남도 담양군
189,46720,전라남도 곡성군
190,46730,전라남도 구례군
191,46770,전라남도 고흥군
192,46780,전라남도 보성군
193,46790,전라남도 화순군
194,46800,전라남도 장흥군
195,46810,전라남도 강진군
196,46820,전라남도 해남군
197,46830,전라남도 영암군
198,46840,전라남도 무안군
199,46860,전라남도 함평군
200,46870,전라남도 영광군
201,46880,전라남도 장성군
202,46890,전라남도 완도군
203,46900,전라남도 진도군
204,46910,전라남도 신안군
205,47111,경상북도 포항남구
206,47113,경상북도 포항북구
207,47130,경상북도 경주시
208,47150,경상북도 김천시
209,47170,경상북도 안동시
210,47190,경상북도 구미시
211,47210,경상북도 영주시
212,47230,경상북도 영천시
213,47250,경상북도 상주시
214,47280,경상북도 문경시
215,47290,경상북도 경산시
216,47720,경상북도 군위군
217,47730,경상북도 의성군
218,47750,경상북도 청송군
219,47760,경상북도 영양군
220,47770,경상북도 영덕군
221,47820,경상북도 청도군
222,47830,경상북도 고령군
223,47840,경상북도 성주군
224,47850,경상북도 칠곡군
225,47900,경상북도 예천군
226,47920,경상북도 봉화군
227,47930,경상북도 울진군
228,47940,경상북도 울릉군
229,48121,경상남도 창원의창구
230,48123,경상남도 창원성산구
231,48125,경상남도 창원마산합포구
232,48127,경상남도 창원마산회원구
233,48129,경상남도 창원진해구
234,48170,경상남도 진주시
235,48220,경상남도 통영시
236,48240,경상남도 사천시
237,48250,경상남도 김해시
238,48270,경상남도 밀양시
239,48310,경상남도 거제시
240,48330,경상남도 양산시
241,48720,경상남도 의령군
242,48730,경상남도 함안군
243,48740,경상남도 창녕군
244,48820,경상남도 고성군
245,48840,경상남도 남해군
246,48850,경상남도 하동군
247,48860,경상남도 산청군
248,48870,경상남도 함양군
249,48880,경상남도 거창군
250,48890,경상남도 합천군
251,50110,제주특별자치도 제주시
252,50130,제주특별자치도 서귀포시
